HDR,ROLLING SYSTEM DEMAND
VD,20220124000000,29096
VD,20220124000500,29493
VD,20220124001000,29555
VD,20220124001500,29527
VD,20220124002000,29447
VD,20220124002500,29418
VD,20220124003000,29513
VD,20220124003500,29968
VD,20220124004000,30160
VD,20220124004500,30200
VD,20220124005000,30209
VD,20220124005500,30192
VD,20220124010000,30134
VD,20220124010500,30194
VD,20220124011000,30095
VD,20220124011500,30034
VD,20220124012000,29989
VD,20220124012500,29892
VD,20220124013000,29719
VD,20220124013500,29641
VD,20220124014000,29559
VD,20220124014500,29492
VD,20220124015000,29453
VD,20220124015500,29432
VD,20220124020000,29444
VD,20220124020500,29464
VD,20220124021000,29455
VD,20220124021500,29346
VD,20220124022000,29351
VD,20220124022500,29283
VD,20220124023000,29195
VD,20220124023500,29125
VD,20220124024000,29153
VD,20220124024500,29076
VD,20220124025000,29014
VD,20220124025500,29024
VD,20220124030000,29032
VD,20220124030500,29011
VD,20220124031000,29000
VD,20220124031500,28883
VD,20220124032000,28841
VD,20220124032500,28780
VD,20220124033000,28681
VD,20220124033500,28679
VD,20220124034000,28646
VD,20220124034500,28592
VD,20220124035000,28500
VD,20220124035500,28582
VD,20220124040000,28659
VD,20220124040500,28594
VD,20220124041000,28709
VD,20220124041500,28752
VD,20220124042000,28748
VD,20220124042500,28756
VD,20220124043000,28615
VD,20220124043500,28635
VD,20220124044000,28593
VD,20220124044500,28435
VD,20220124045000,28336
VD,20220124045500,28179
VD,20220124050000,28564
VD,20220124050500,29089
VD,20220124051000,29280
VD,20220124051500,29361
VD,20220124052000,29448
VD,20220124052500,29591
VD,20220124053000,29582
VD,20220124053500,29726
VD,20220124054000,30138
VD,20220124054500,30495
VD,20220124055000,30809
VD,20220124055500,30978
VD,20220124060000,31307
VD,20220124060500,31948
VD,20220124061000,32664
VD,20220124061500,33177
VD,20220124062000,33722
VD,20220124062500,34049
VD,20220124063000,34420
VD,20220124063500,34838
VD,20220124064000,35369
VD,20220124064500,35945
VD,20220124065000,36378
VD,20220124065500,36693
VD,20220124070000,36843
VD,20220124070500,37009
VD,20220124071000,37694
VD,20220124071500,38236
VD,20220124072000,38725
VD,20220124072500,39024
VD,20220124073000,39359
VD,20220124073500,39482
VD,20220124074000,39617
VD,20220124074500,39888
VD,20220124075000,40136
VD,20220124075500,40289
VD,20220124080000,40331
VD,20220124080500,40027
VD,20220124081000,40287
VD,20220124081500,40437
VD,20220124082000,40569
VD,20220124082500,40706
VD,20220124083000,40789
